Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,elementId,fixedCost,processId,resourceCost,resourceId
11,CONFIGURE EVALUATION SYSTEM,Default Resource-000009,03/12/2024 10:01,03/12/2024 10:01,Variant 2,2,sid-9CDA04EF-819F-4593-9B2E-8ACE8584CE86,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
11,CONFIGURE PRODUCTION SYSTEM,Default Resource-000010,03/12/2024 10:01,03/12/2024 10:01,Variant 2,2,sid-341FBA69-1F2E-4532-8D10-4FB8DC4F965D,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
11,CONFIGURE DEVELOPMENT SYSTEM,Default Resource-000001,03/12/2024 10:01,03/12/2024 10:01,Variant 2,2,sid-2289C30D-0EC7-4B7A-B7FD-E81788B54DAC,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
11,CONFIGURE SEGREGATION SYSTEM,Default Resource-000002,03/12/2024 10:01,03/12/2024 10:01,Variant 2,2,sid-8F4C7578-6164-4D7D-908C-ECF975D28B51,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
11,CONFIGURE PREPARATION SYSTEM,Default Resource-000003,03/12/2024 10:01,03/12/2024 10:01,Variant 2,2,sid-BEE0654E-2332-4091-84F7-4AC8647BFDC1,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
11,CONFIGURE INGESTION SYSTEM,Default Resource-000004,03/12/2024 10:01,03/12/2024 10:01,Variant 2,2,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
11,END,,03/12/2024 10:01,03/12/2024 10:01,Variant 2,2,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
12,START,,03/12/2024 10:02,03/12/2024 10:02,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
12,END,,03/12/2024 10:02,03/12/2024 10:02,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
13,START,,03/12/2024 10:02,03/12/2024 10:02,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
13,END,,03/12/2024 10:02,03/12/2024 10:02,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
14,START,,03/12/2024 10:02,03/12/2024 10:02,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
14,END,,03/12/2024 10:02,03/12/2024 10:02,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
15,START,,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
15,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000005,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
15,CONFIGURE EVALUATION SYSTEM,Default Resource-000006,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-9CDA04EF-819F-4593-9B2E-8ACE8584CE86,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
15,CONFIGURE PRODUCTION SYSTEM,Default Resource-000007,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-341FBA69-1F2E-4532-8D10-4FB8DC4F965D,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
15,CONFIGURE DEVELOPMENT SYSTEM,Default Resource-000008,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-2289C30D-0EC7-4B7A-B7FD-E81788B54DAC,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
15,CONFIGURE SEGREGATION SYSTEM,Default Resource-000009,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-8F4C7578-6164-4D7D-908C-ECF975D28B51,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
15,CONFIGURE PREPARATION SYSTEM,Default Resource-000010,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-BEE0654E-2332-4091-84F7-4AC8647BFDC1,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
15,CONFIGURE INGESTION SYSTEM,Default Resource-000001,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
15,END,,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
16,START,,03/12/2024 10:02,03/12/2024 10:02,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
16,END,,03/12/2024 10:02,03/12/2024 10:02,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
17,START,,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
17,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000002,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
17,CONFIGURE EVALUATION SYSTEM,Default Resource-000003,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-9CDA04EF-819F-4593-9B2E-8ACE8584CE86,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
17,CONFIGURE PRODUCTION SYSTEM,Default Resource-000004,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-341FBA69-1F2E-4532-8D10-4FB8DC4F965D,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
17,CONFIGURE DEVELOPMENT SYSTEM,Default Resource-000005,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-2289C30D-0EC7-4B7A-B7FD-E81788B54DAC,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
17,CONFIGURE SEGREGATION SYSTEM,Default Resource-000006,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-8F4C7578-6164-4D7D-908C-ECF975D28B51,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
17,CONFIGURE PREPARATION SYSTEM,Default Resource-000007,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-BEE0654E-2332-4091-84F7-4AC8647BFDC1,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
17,CONFIGURE INGESTION SYSTEM,Default Resource-000008,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
17,END,,03/12/2024 10:02,03/12/2024 10:02,Variant 2,2,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
18,START,,03/12/2024 10:03,03/12/2024 10:03,Variant 2,2,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
18,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000009,03/12/2024 10:03,03/12/2024 10:03,Variant 2,2,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
18,CONFIGURE EVALUATION SYSTEM,Default Resource-000010,03/12/2024 10:03,03/12/2024 10:03,Variant 2,2,sid-9CDA04EF-819F-4593-9B2E-8ACE8584CE86,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
18,CONFIGURE PRODUCTION SYSTEM,Default Resource-000001,03/12/2024 10:03,03/12/2024 10:03,Variant 2,2,sid-341FBA69-1F2E-4532-8D10-4FB8DC4F965D,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
18,CONFIGURE DEVELOPMENT SYSTEM,Default Resource-000002,03/12/2024 10:03,03/12/2024 10:03,Variant 2,2,sid-2289C30D-0EC7-4B7A-B7FD-E81788B54DAC,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
18,CONFIGURE SEGREGATION SYSTEM,Default Resource-000003,03/12/2024 10:03,03/12/2024 10:03,Variant 2,2,sid-8F4C7578-6164-4D7D-908C-ECF975D28B51,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
18,CONFIGURE PREPARATION SYSTEM,Default Resource-000004,03/12/2024 10:03,03/12/2024 10:03,Variant 2,2,sid-BEE0654E-2332-4091-84F7-4AC8647BFDC1,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
18,CONFIGURE INGESTION SYSTEM,Default Resource-000005,03/12/2024 10:03,03/12/2024 10:03,Variant 2,2,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
18,END,,03/12/2024 10:03,03/12/2024 10:03,Variant 2,2,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
19,START,,03/12/2024 10:03,03/12/2024 10:03,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
19,END,,03/12/2024 10:03,03/12/2024 10:03,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
20,START,,03/12/2024 10:03,03/12/2024 10:03,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
20,END,,03/12/2024 10:03,03/12/2024 10:03,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
21,START,,03/12/2024 10:03,03/12/2024 10:03,Variant 4,4,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
21,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000006,03/12/2024 10:03,03/12/2024 10:03,Variant 4,4,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
21,CONFIGURE EVALUATION SYSTEM,Default Resource-000007,03/12/2024 10:03,03/12/2024 10:03,Variant 4,4,sid-9CDA04EF-819F-4593-9B2E-8ACE8584CE86,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
21,CONFIGURE PRODUCTION SYSTEM,Default Resource-000008,03/12/2024 10:03,03/12/2024 10:03,Variant 4,4,sid-341FBA69-1F2E-4532-8D10-4FB8DC4F965D,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
21,CONFIGURE DEVELOPMENT SYSTEM,Default Resource-000009,03/12/2024 10:03,03/12/2024 10:03,Variant 4,4,sid-2289C30D-0EC7-4B7A-B7FD-E81788B54DAC,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
21,CONFIGURE SEGREGATION SYSTEM,Default Resource-000010,03/12/2024 10:03,03/12/2024 10:03,Variant 4,4,sid-8F4C7578-6164-4D7D-908C-ECF975D28B51,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
21,CONFIGURE PREPARATION SYSTEM,Default Resource-000001,03/12/2024 10:03,03/12/2024 10:03,Variant 4,4,sid-BEE0654E-2332-4091-84F7-4AC8647BFDC1,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
21,CONFIGURE INGESTION SYSTEM,Default Resource-000002,03/12/2024 10:03,03/12/2024 10:03,Variant 4,4,sid-EA3E4682-F6C1-40E9-ABD2-86D58B43D3DA,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
21,EVALUATE CLASSIFIER,Default Resource-000003,03/12/2024 10:03,03/12/2024 10:03,Variant 4,4,sid-BF16B895-0C1B-42AB-9FA0-08154BC7AB35,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
21,END,,03/12/2024 10:03,03/12/2024 10:03,Variant 4,4,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
22,START,,03/12/2024 10:03,03/12/2024 10:03,Variant 1,1,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
22,END,,03/12/2024 10:03,03/12/2024 10:03,Variant 1,1,sid-1FA22A38-811D-41F7-8403-CF8AAFF96E33,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
23,START,,03/12/2024 10:03,03/12/2024 10:03,Variant 2,2,sid-928C0280-FDB6-4CD1-A4FF-F4093C4CEF2A,,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,,
23,CONFIGURE CLIENT-SIDE SYSTEM,Default Resource-000004,03/12/2024 10:03,03/12/2024 10:03,Variant 2,2,sid-7CE7240F-79B7-4EF6-A885-2EDC52CF7F6B,10.0,sid-8EC0CA95-3B87-49C1-9FE1-3457C1961B1D,0.0,QBP_DEFAULT_RESOURCE
